Formula,Space Group,Band Gap,a,b,c,a=b
C,P4/mmm,0,1.6329,1.6329,"20.0,""",TRUE
B,P6/mmm,0,1.7069,1.7069,"20.0,""",TRUE
B,P4/mmm,0,1.7563,1.7563,"20.0,""",TRUE
O2,P4/mmm,0,1.799,1.799,"20.0,""",TRUE
F2,P4/mmm,0,1.9779,1.9779,"20.0,""",TRUE
N2,Pmna,0,2.1622,4.9734,22.12,FALSE
BeC2,P-3m1,0,2.1664,2.1664,24.664,TRUE
N2,Pmna,0,2.1779,3.2717,22.423,FALSE
N2O3,Pmma,0,2.1785,16.248,24.608,FALSE
N2,P2_1/m,0,2.1814,3.2419,23.344,FALSE
N2O3,Pmmn,2.7509,2.2523,13.316,21.157,FALSE
B2O,P3m1,0,2.2765,2.2765,23.02,TRUE
N2,P-3m1,3.811,2.2935,2.2934,21.522,TRUE
P,P4/mmm,0,2.3073,2.3073,"20.0,""",TRUE
CN2,Pmc2_1,0,2.31,5.7742,25.607,FALSE
B4O3,P2_1/m,0,2.3413,7.4583,29.614,FALSE
ScBe5,P1,0,2.3428,4.2072,25.973,FALSE
C3N,Pmmm,0,2.3539,4.7366,20,FALSE
CN,C2/m,0,2.3602,7.8451,25.274,FALSE
CN,P-1,0,2.3602,7.9936,25.454,FALSE
LiBe,P2_1/m,0,2.3629,2.1582,26.09,FALSE
S,P4/mmm,0,2.372,4.7649,19.985,FALSE
Be2Zn,P4/mmm,0,2.3805,2.3805,23.983,TRUE
NO2,Pm,0,2.3932,6.2255,30.971,FALSE
CuO2,Pmmm,0,2.4032,6.5393,20,FALSE
Ni,P-3m1,0,2.4091,4.1747,22.024,FALSE
AgP2,P2/m,0,2.4105,6.682,20.816,FALSE
B2O3,Cm,4.1863,2.4126,5.0831,23.091,FALSE
Si,P4/mmm,0,2.425,2.425,"20.0,""",TRUE
BeSi2,C2/m,0,2.4256,5.3461,23.148,FALSE
Be3Ge,Pmm2,0,2.4263,3.6123,22.353,FALSE
B2O3,P-3m1,3.9055,2.4395,2.4395,24.629,TRUE
B2O3,P-3m1,3.4413,2.4412,2.4412,29.498,TRUE
NaBe,P2_1/m,0,2.4475,2.831,26.114,FALSE
C3N4,P1,0,2.4579,2.4451,28.159,FALSE
C,P6/mmm,1.00E-04,2.4649,2.4649,19.996,TRUE
B2O3,Pmc2_1,3.3407,2.4725,4.2369,25.735,FALSE
PdC4,P6/mmm,0,2.5005,4.3253,22.903,FALSE
HC3,P-3m1,0,2.5068,2.5068,30.11,TRUE
BN,P-6m2,4.6628,2.5089,2.5089,20,TRUE
BeO2,P4/mmm,1.5217,2.5134,2.5134,21.519,TRUE
TmBe5,Cm,0,2.5227,4.2611,26.03,FALSE
Ni2B,P-6m2,0,2.5244,2.5244,22.78,TRUE
Feb-02,P4/mmm,0,2.5295,2.5295,22.704,TRUE
YBe5,P1,0,2.5334,4.2938,25.924,FALSE
HC,P-3m1,3.4891,2.5368,2.5368,22.681,TRUE
CoC2,C2/m,0,2.5391,3.4502,24.321,FALSE
CSe,Pmma,0,2.547,6.986,24.071,FALSE
Zn,P6/mmm,0,2.5552,2.5552,20.021,TRUE
Fe2B3,P4/mmm,0,2.5604,2.5604,25.544,TRUE
PO2,Pmc2_1,2.7644,2.5638,9.0749,30.972,FALSE
AuO2,Pmmm,0,2.5645,7.5755,20,FALSE
FeSi2,P4/mmm,0,2.5692,2.5692,22.803,TRUE
Be2Co,P4/mmm,0,2.5734,2.5734,22.883,TRUE
Ge,P4/mmm,0,2.5766,2.5766,"20.0,""",TRUE
SO2,Pmmn,0,2.5879,3.0914,24.161,FALSE
As,P4/mmm,0,2.5933,2.5933,"20.0,""",TRUE
S3N2,P2_1/m,0,2.598,9.7957,26.32,FALSE
BeF2,P-3m1,9.4494,2.6003,2.6003,23.529,TRUE
NiP2,P4/mmm,0,2.6022,2.6022,23.53,TRUE
AgO2,Pmmm,0,2.6078,7.1192,20,FALSE
Ga,P4/mmm,0,2.6214,2.6214,"20.0,""",TRUE
Cl2,P4/mmm,0,2.631,2.631,"20.0,""",TRUE
P4F,P-1,0,2.6339,8.2672,34.689,FALSE
BeSi2,P-3m1,0,2.6383,2.6383,24.445,TRUE
P2O3,Pmmn,3.6102,2.6383,13.525,21.157,FALSE
FeHO2,Pmn2_1,1.0621,2.6385,4.0033,25.853,FALSE
Be2N,P-3m1,0,2.6431,2.6431,23.013,TRUE
S3N2,P2_1/m,0,2.6434,10.219,25.156,FALSE
AlNi2,P-6m2,0,2.6481,2.6481,22.78,TRUE
CrN,I4/mmm,0,2.6508,2.6508,23.77,TRUE
Se,P4/mmm,0,2.654,5.2837,19.985,FALSE
CoO2,Pmmm,0,2.6552,3.3406,22.4,FALSE
Ni3S4,P2/m,0,2.6589,7.0208,25.161,FALSE
Be2Cd,P4/mmm,0,2.6665,2.6665,23.983,TRUE
Al,P4/mmm,0,2.6676,2.6676,"20.0,""",TRUE
UC2,P-1,0,2.6679,3.9965,26.177,FALSE
Ga,Pmma,0,2.6714,2.6623,22.343,FALSE
MgC2,P-3m1,0,2.6722,2.6722,24.664,TRUE
Be2N,Pmmn,0,2.677,3.1213,18.064,FALSE
GaNi2,P-6m2,0,2.6793,2.6793,22.78,TRUE
EuC2,C2/m,0,2.686,5.0901,24.05,FALSE
LiCuO2,P2/m,0.6372,2.6881,5.3797,17.291,FALSE
BeF2,Pmma,8.2478,2.6882,4.4819,23.548,FALSE
Al,Pmma,0,2.6886,2.7676,22.343,FALSE
ZnH,P6mm,0,2.6902,2.6902,21.79,TRUE
TeC,Pmma,0,2.6928,6.3184,24.071,FALSE
CS,Pmmn,0,2.6931,6.2162,21.993,FALSE
S3N2,P-3m1,0,2.6934,2.6934,29.271,TRUE
Pt,P-3m1,0,2.6937,4.6658,22.024,FALSE
Pd,P-3m1,0,2.6965,4.6639,22.024,FALSE
Si2O,Cm,0,2.7037,3.8785,22.806,FALSE
PO2,P2_1/m,3.3097,2.7058,9.5273,22.775,FALSE
Al,P6/mmm,0,2.7069,2.707,"20.0,""",FALSE
BeF2,P-4m2,8.6811,2.7141,2.7141,22.656,TRUE
PN,P1,1.7132,2.7149,4.0597,22.48,FALSE
LiCuO2,Cm,0.5036,2.7155,5.6916,24.832,FALSE
NF5,Pmma,0,2.7232,9.4141,23.858,FALSE
NF5,Pmmm,0,2.7259,5.8633,23.758,FALSE
ReF2,P-3m1,0,2.7271,2.7271,22.766,TRUE
TiCu,P4/nmm,0,2.735,2.735,24.425,TRUE
AuS2,P-4m2,0,2.7456,5.4668,22.83,FALSE
MnN2,P-6m2,0,2.7479,2.7479,26.361,TRUE
Al2O,P-3m1,0,2.7507,2.7507,23.02,TRUE
As2Au,P2/m,0,2.7555,5.6504,20.816,FALSE
FeGe2,P4/mmm,0,2.7581,2.7581,22.803,TRUE
CuS,Pmmn,0,2.7608,3.8448,23.889,FALSE
ScF2,P4/mmm,0,2.7615,2.7615,23.801,TRUE
CeBe2,Pmma,0,2.7618,4.153,27.931,FALSE
P2Pd,P4/mmm,0,2.7619,2.7619,23.53,TRUE
AgS,Pmmn,0,2.7632,4.2609,23.889,FALSE
Be2Hg,P4/mmm,0,2.7664,2.7664,23.983,TRUE
CuHO2,P2/m,0.787,2.767,4.4098,21.01,FALSE
P2O3,Pmma,0.0012,2.7676,13.499,24.608,FALSE
Ga,P6/mmm,0,2.7683,2.7683,"20.0,""",TRUE
CuHO2,Pmn2_1,0.7428,2.77,4.4113,24.066,FALSE
B2Ru,P4/mmm,0,2.7707,2.7707,22.696,TRUE
PtN2,Pmmm,0,2.7721,4.9211,"20.0,""",FALSE
Ni3Se4,P2/m,0,2.7741,7.319,25.299,FALSE
Li3Co(NiO3)2,P2/m,0.377,2.7752,5.6696,24.182,FALSE
IrC2,C2/m,0.0314,2.7773,3.6518,24.321,FALSE
BN,P4/nmm,4.9935,2.7797,2.7797,23.942,TRUE
CS,Pmn2_1,1.0171,2.7812,3.9637,22.785,FALSE
Si,P-3m1,0,2.7817,2.7817,22.485,TRUE
RhC2,C2/m,0,2.7864,3.6435,24.321,FALSE
Zn(OF)2,Cmmm,0,2.7887,5.901,22.722,FALSE
CuAgO2,P2/m,0,2.7905,6.1359,21.504,FALSE
P6Au,Pmn2_1,0,2.7907,8.1892,29.06,FALSE
TcO2,P2_1/m,0,2.7927,5.008,21.952,FALSE
CF2,P-6m2,2.5485,2.7947,2.7947,23.838,TRUE
ReO2,P2_1/m,0,2.7948,5.0404,21.944,FALSE
NiO2,P-3m1,1.895,2.7948,2.7948,21.9,TRUE
CS,P2/c,0.7902,2.7954,7.3199,22.971,FALSE
TiF2,P2_1/m,0.5841,2.7963,5.1742,24.399,FALSE
NiAs2,P4/mmm,0,2.7993,2.7993,23.53,TRUE
Be,P4/mmm,0,2.802,2.802,"20.0,""",TRUE
Be2Rh,P4/mmm,0,2.8024,2.8024,22.883,TRUE
TiZn,P4/nmm,0,2.803,2.803,26.607,TRUE
B2Os,P4/mmm,0,2.8035,2.8035,19.488,TRUE
Co2NiO6,C2/m,1.2757,2.806,7.4814,21.918,FALSE
CuAuO2,P2/m,0,2.8081,6.0871,20.906,FALSE
CuO,Pmc2_1,0.2208,2.8095,6.5685,23.702,FALSE
AuF,Pmma,0,2.81,3.3263,23.042,FALSE
SiN2,Pmc2_1,0.6916,2.8148,9.4777,26.149,FALSE
CrH4,P4/nmm,0.0955,2.8185,2.8185,25.376,TRUE
TaF2,P-3m1,0,2.8188,2.8188,22.903,TRUE
CuN2,Pmmm,0,2.8201,4.6847,20.816,FALSE
TiO,P4/nmm,0,2.8209,2.821,33.658,FALSE
WN,C2/m,0.3537,2.8217,2.8211,23.635,TRUE
NO2,P6/mmm,0,2.8225,2.8225,23.731,TRUE
FeO3,C2/m,0,2.8227,7.7636,23.065,FALSE
CS,P3m1,1.2335,2.8239,2.8239,21.478,TRUE
BeGe2,P-3m1,0,2.8243,2.8243,24.664,TRUE
Al4O3,P2_1/m,0,2.8253,7.0212,27.755,FALSE
BPt2,P-6m2,0,2.8254,2.8254,22.78,TRUE
MoN,C2/m,0.1812,2.8266,2.826,23.701,TRUE
Be2Ir,P4/mmm,0,2.8281,2.8281,20.042,TRUE
NiN2,Pmmm,0,2.8327,4.6362,"20.0,""",FALSE
Se,Pmma,0,2.8342,4.6451,21.025,FALSE
Ga2Fe,P4/mmm,0,2.8343,2.8343,24.031,TRUE
B3Os2,P4/mmm,0,2.8365,2.8365,25.544,TRUE
AgN2,P2/m,0,2.8367,6.2735,20.816,FALSE
Se3N2,P2_1/m,0,2.8388,9.4235,26.256,FALSE
Si2Ru,P4/mmm,0,2.8389,2.8389,22.951,TRUE
Si3N4,C2/m,0,2.8419,2.8419,27.96,TRUE
H2C2S,P-3m1,0.2041,2.8426,2.8426,24.098,TRUE
BPd2,P-6m2,0,2.8431,2.8431,22.78,TRUE
Al2Fe,P4/mmm,0,2.8437,2.8437,22.704,TRUE
CeBe2,C2/m,0,2.8444,5.3412,26.048,FALSE
Be3C,P4mm,1.0353,2.8465,2.8469,22.353,TRUE
Cr(CoO3)2,C2/m,0,2.8466,7.6282,21.913,FALSE
TiAg,P4/nmm,0,2.8469,2.8469,24.425,TRUE
NbF2,P-3m1,0,2.8477,2.8477,22.903,TRUE
Fe(CoO3)2,C2/m,0,2.8477,7.6372,21.917,FALSE
TiF2,P-6m2,1.3521,2.8485,2.8485,23.44,TRUE
TiC2,P4/nmm,0,2.8488,2.8498,25.781,FALSE
TcF2,P-3m1,0,2.8508,2.8508,22.766,TRUE
ScP2,C222,0,2.8509,3.2242,24.904,FALSE
CoO2,C2/m,0,2.8511,2.8511,21.958,TRUE
MgO2,P4/mmm,2.3385,2.8528,2.8528,21.519,TRUE
P4C3,C2,0,2.8539,2.8535,28.04,TRUE
FeO2,Pmmn,0.3937,2.8581,4.0859,24.402,FALSE
CrO2,C2/m,1.021,2.8607,2.9714,21.911,FALSE
CuSiO3,Pmma,0.107,2.862,8.9025,25.378,FALSE
TlPt2,P-6m2,0,2.8623,2.8623,22.78,TRUE
CoOF,Pmmm,1.0354,2.8648,6.2892,22.75,FALSE
Fe(Si2O3)2,P1,0,2.8657,6.3286,28.248,FALSE
FeC2,P4/mmm,0,2.8671,2.8671,22.803,TRUE
TcN2,P-6m2,0,2.8692,2.8692,26.361,TRUE
CF2,P-3m1,1.7438,2.8699,2.8699,23.732,TRUE
ReN2,P-6m2,0.0943,2.8713,2.8713,26.361,TRUE
Mn(CoO3)2,C2/m,1.4555,2.8718,7.541,21.901,FALSE
H5W,Pmma,0,2.8723,6.1275,22.062,FALSE
MgSi2,P-3m1,0,2.8731,2.8731,24.445,TRUE
TiCd,P4/nmm,0,2.8731,2.8731,26.632,TRUE
AuSe,Pmmn,0,2.8733,3.7884,23.889,FALSE
MgBe,P-3m1,0,2.8738,2.8738,28.784,TRUE
Br,P4/mmm,0,2.8743,2.8743,"20.0,""",TRUE
AuS,Pmmn,0,2.8747,3.6986,23.889,FALSE
Li2CuF5,P2/m,0.3678,2.8751,8.5642,22.393,FALSE
AgSe,Pmmn,0,2.8797,4.3967,23.889,FALSE
V2O5,Pmmn,1.5078,2.88,11.322,23.904,FALSE
AuN2,P2/m,0,2.884,5.1056,20.816,FALSE
V2O5,Pm,1.5097,2.8861,5.8329,23.891,FALSE
AuSe2,P-4m2,0,2.8907,5.7566,22.829,FALSE
NiN2,P4/mmm,0,2.8908,2.8908,23.53,TRUE
Al2O3,P-3m1,5.4648,2.8909,2.8909,24.629,TRUE
AgP6,Pmn2_1,0,2.8923,8.1102,29.06,FALSE
MnO2,Pmmn,0,2.893,3.8287,24.184,FALSE
Al3Fe2,P4/mmm,0,2.8936,2.8936,25.544,TRUE
Al2O3,P-3m1,4.621,2.8949,2.8949,30.586,TRUE
PO2,P-3m1,0,2.8954,2.9019,21.973,FALSE
Mn2CoO6,C2/m,1.5274,2.8954,7.6257,21.933,FALSE
InNi2,P-6m2,0,2.8956,2.8956,22.78,TRUE
MgP2,C2/m,0,2.8959,5.7866,24.98,FALSE
As2O3,Pmmn,3.0682,2.8963,13.583,21.157,FALSE
NiHO2,Cm,0,2.8976,3.0048,23.051,FALSE
Al2O3,Pm,4.2022,2.8976,5.0316,22.897,FALSE
P2Pt,P4/mmm,0,2.898,2.898,23.53,TRUE
VS2,Pmmm,0,2.8983,3.4055,23.446,FALSE
AgSe2,P-4m2,0,2.8987,5.7157,22.829,FALSE
LiMnO2,Pmmn,0,2.8991,4.3339,25.932,FALSE
As2O3,Pm,2.4693,2.9025,3.979,24.64,FALSE
Mn2CrO6,C2/m,0.74,2.903,7.7692,21.927,FALSE
AlAgO2,P3m1,0,2.9031,2.9031,24.15,TRUE
VZnO2,P1,0,2.906,7.3519,29.303,FALSE
MgTi2,Pmma,0,2.9071,4.639,26.931,FALSE
AlPt2,P-6m2,0,2.9078,2.9078,22.78,TRUE
Li2F,P-3m1,0,2.9095,2.9095,23.407,TRUE
OsC2,P4/mmm,0,2.9104,2.9104,22.803,TRUE
As2Pd,P4/mmm,0,2.9106,2.9106,23.53,TRUE
MnCoO4,P2/m,0,2.9108,5.0477,22.016,FALSE
GeN2,Pmc2_1,0,2.9119,9.0567,25.607,FALSE
FeCoO4,P2/m,0,2.912,5.0172,21.89,FALSE
AlHO2,Pmn2_1,3.8135,2.9121,3.6618,25.598,FALSE
MgTi,Pmmn,0,2.9152,4.8804,29.588,FALSE
GaPt2,P-6m2,0,2.9159,2.9159,22.78,TRUE
AgGeO3,Pmma,0,2.9186,7.6804,25.556,FALSE
PC,P-1,1.9758,2.9187,8.493,25.213,FALSE
Li2Cu2F5,P2_1/m,0.102,2.9188,7.7049,27.667,FALSE
PC,C2/m,2.1668,2.9194,8.4957,24.727,FALSE
MnO2,P-3m1,1.9487,2.9204,2.9204,21.912,TRUE
W2N3,P-6m2,0,2.9234,2.9234,25.178,TRUE
HfF2,P-3m1,0,2.924,2.924,23.196,TRUE
Cd,P6/mmm,0,2.9241,2.9241,"20.0,""",TRUE
LiAgF2,P2_1/m,1.9922,2.9242,6.3274,24.445,FALSE
AlPd2,P-6m2,0,2.926,2.926,22.78,TRUE
GaHO2,Pmn2_1,2.8515,2.9265,5.0947,25.961,FALSE
MgU,P3m1,0,2.9274,2.9274,23.108,TRUE
CuF,P-3m1,0,2.9287,2.9225,23.814,FALSE
Si2Os,P4/mmm,0,2.932,2.932,22.803,TRUE
Si(CO)2,Pmmm,0,2.9321,6.9611,24.607,FALSE
CuO2,P-3m1,0,2.9322,5.0812,19.181,FALSE
Mn2FeO6,C2/m,0,2.9328,7.8072,21.928,FALSE
CS2,P-3m1,0,2.9347,2.9347,23.192,TRUE
CuBrO2,P2/m,0,2.938,6.0137,21.128,FALSE
AsO2,P2_1/m,1.8728,2.9418,10.119,22.775,FALSE
GaPd2,P-6m2,0,2.9433,2.9433,22.78,TRUE
CoO2,P-3m1,0,2.9442,2.9442,21.882,TRUE
TiMn2O6,C2/m,1.7679,2.9462,7.7835,21.926,FALSE
Li(CoO2)2,P3m1,0,2.9486,2.9486,26.608,TRUE
TiAu,P4/nmm,0,2.9495,2.9495,24.425,TRUE
Tl2Os,P4/mmm,0,2.9502,2.9502,22.704,TRUE
MnHO2,Cm,0.1783,2.9512,3.2419,23.089,FALSE
AsO2,Pmc2_1,2.0348,2.9524,9.2588,30.972,FALSE
AlF,P4mm,0,2.9537,2.9537,22.485,TRUE
Cu(HO)2,Pmn2_1,0.2416,2.9551,5.3584,24.835,FALSE
AsO2,P-1,1.7986,2.9558,10.429,23.603,FALSE
Sb,P4/mmm,0,2.9571,2.9571,"20.0,""",TRUE
LiMnCr2O6,Cm,0.5639,2.9578,7.803,22.256,FALSE
SiN,C2/m,1.4806,2.958,8.9434,24.722,FALSE
Ge2O,Cm,0,2.9581,3.0568,22.806,FALSE
SiN,P-1,1.4729,2.9607,8.9322,25.215,FALSE
LiSn2,P4mm,0,2.9617,2.9617,24.32,TRUE
PdN2,Pmmm,0,2.9621,5.0254,"20.0,""",FALSE
CuCN2,Pmma,0,2.9622,9.4018,21.431,FALSE
In2Os,P4/mmm,0,2.9626,2.9626,28.065,TRUE
AlO2,Pmmn,0,2.9643,3.6105,24.082,FALSE
CrSb,P-1,0,2.9665,3.9819,23.662,FALSE
FeOF,Pmmm,0.8142,2.9683,6.4509,22.739,FALSE
FeHO2,Pmn2_1,1.7552,2.9686,5.2026,25.989,FALSE
MgTi,P3m1,0,2.9703,2.9703,32.462,TRUE
TiHg,P4/nmm,0,2.9715,2.9715,26.607,TRUE
TiF,P-3m1,0,2.9717,2.9717,26.166,TRUE
MgGa2,P-6m2,0,2.9718,2.9718,24.953,TRUE
BF,P1,0.0644,2.9739,2.1216,23.682,FALSE
RuC2,P4/mmm,0,2.975,2.975,22.803,TRUE
Sn,P4/mmm,0,2.975,2.975,"20.0,""",TRUE
TlNi2,P-6m2,0,2.9758,2.9758,22.78,TRUE
FeO2,P-3m1,0,2.9764,2.9764,21.943,TRUE
AsN,P1,1.8399,2.9773,4.0197,22.48,FALSE
Te,P4/mmm,0,2.9796,6.1417,19.985,FALSE
HfF2,P2_1/m,1.4086,2.9797,6.1865,25.045,FALSE
Al2Ru,P4/mmm,0,2.9819,2.9819,22.704,TRUE
VSe2,P6/mmm,0,2.9835,2.9836,24.827,TRUE
CuHO2,Pmn2_1,0,2.9847,3.8556,25.527,FALSE
Mg2Ti,Pmma,0,2.9855,4.9418,27.061,FALSE
ZrF2,P2_1/m,0.7993,2.9855,5.6971,24.406,FALSE
V3(OF)4,Pm,0.6692,2.987,4.6845,27.466,FALSE
OsO3,C2/m,0.6292,2.9872,8.2979,23.183,FALSE
ZrF2,P2_1/m,0.7951,2.9874,5.6878,24.41,FALSE
Ge2Ru,P4/mmm,0,2.9875,2.9875,22.803,TRUE
Fe3(O2F)2,Pmmm,0,2.9877,6.6108,29.229,FALSE
Mg2Fe,Pmma,0,2.9903,4.5788,26.375,FALSE
CuHgO2,P2/m,0,2.9908,6.3517,20.882,FALSE
TiO2,P-3m1,2.6535,2.9922,2.9922,21.935,TRUE
B2S3,Cm,0,2.9937,6.7018,29.418,FALSE
CuTeO4,P2/m,0,2.9977,6.0756,22.484,FALSE
InPt2,P-6m2,0,2.9977,2.9977,22.78,TRUE
CuSe2,Pmm2,0,2.9987,5.5794,22.83,FALSE
MnOF,Pmmm,0,2.9991,6.2395,22.357,FALSE
ZrF2,P-3m1,0,3,3,22.995,TRUE
NbO2,P-6m2,0,3.0001,3.0001,22.381,TRUE
CrAgS2,P3m1,0,3.0012,3.0012,25.764,TRUE
LiCrO2,P3m1,0,3.0015,3.0015,23.692,TRUE
CrP,C2/m,0.068,3.0026,3.0025,23.675,TRUE
YF2,P4/mmm,0,3.0033,3.0033,23.801,TRUE
RhO2,Pmmm,0,3.0035,2.796,22.4,FALSE
Ga2O,P-3m1,0,3.0046,3.0046,23.02,TRUE
LiMg,P2_1/m,0,3.0049,2.9457,25.885,FALSE
LiCoO2,P3m1,0.2357,3.0051,3.0051,23.662,TRUE
In,Pmma,0,3.0075,3.1281,22.343,FALSE
MgGeO3,Pmma,1.7748,3.0076,7.8936,24.534,FALSE
CuCO3,Pm,0,3.0104,4.7929,21.678,FALSE
CrS2,P2_1/m,0,3.0115,5.4749,24.143,FALSE
EuSi2,P-3m1,0,3.0141,3.0141,24.04,TRUE
As2Pt,P4/mmm,0,3.0167,3.0167,23.53,TRUE
MgGe2,P-3m1,0,3.0175,3.0175,24.664,TRUE
Ga2O3,Cm,2.6401,3.0177,5.266,23.276,FALSE
Al2Os,P4/mmm,0,3.0184,3.0184,22.696,TRUE
Ge2Os,P4/mmm,0,3.0186,3.0186,22.803,TRUE
HfO,P4/nmm,0,3.0191,3.0191,33.658,TRUE
Ga2O3,P-3m1,3.1189,3.0195,3.0195,24.629,TRUE
Ti3(HO2)2,P-3m1,0,3.0204,3.0242,29.32,FALSE
Mg6VC,Pmm2,0,3.0206,8.4411,24.884,FALSE
In,P4/mmm,0,3.0206,3.0206,"20.0,""",TRUE
B4S3,Pmn2_1,0.2049,3.0227,8.3099,20.07,FALSE
Mg2Ti,P-6m2,0,3.0236,3.0236,25.028,TRUE
LiFeF4,Pmc2_1,3.2137,3.0243,6.3823,26.188,FALSE
Ga2O3,P-3m1,2.4769,3.0272,3.0272,31.093,TRUE
MnSbO4,P2/m,1.3221,3.0287,5.6498,22.302,FALSE
Mg5(HO3)2,P-3m1,2.6086,3.0287,3.0287,33.887,TRUE
Ge,P-3m1,0,3.0307,3.0307,22.485,TRUE
EuN2,Amm2,0,3.0309,4.0118,23.174,FALSE
Ga4O3,P2_1/m,0.6935,3.0339,7.7126,27.768,FALSE
NCl5,Pmma,0,3.034,12.968,23.858,FALSE
As2O3,Pmma,1.1544,3.0344,14.577,24.608,FALSE
TiS2,P4/mmm,0,3.0348,3.0348,22.617,TRUE
MgF2,Pmma,5.9279,3.0351,5.4062,23.548,FALSE
CrOF,Pmmn,2.3496,3.0355,3.932,24.276,FALSE
ScAs2,C222,0,3.0357,3.2796,24.904,FALSE
Mg2Co,P4/mmm,0,3.0358,3.0358,22.883,TRUE
LiFeO2,P3m1,0.9059,3.0363,3.0363,23.768,TRUE
PO2,P-1,1.8357,3.0366,9.9312,24.122,FALSE
Ti(CoO3)2,C2,0.2913,3.0378,7.5509,21.935,FALSE
Mg4H2O5,P-3m1,2.503,3.0384,3.0384,31.422,TRUE
ScSi5,Pmmm,0,3.0401,5.8509,23.46,FALSE
PtN2,P2_1/m,0,3.0417,5.6666,24.519,FALSE
BS,P-6m2,2.7869,3.042,3.042,25.019,TRUE
VSe2,Pmmm,0,3.0435,3.581,23.446,FALSE
CeMg,Pmmn,0,3.0438,5.0794,25.269,FALSE
AlBMo,Pmma,0,3.0449,3.1319,25.569,FALSE
NaTi2HO5,Pm,0,3.0453,3.6631,28.275,FALSE
P2C,Pmc2_1,1.7869,3.0465,8.68,26.149,FALSE
BS,P3m1,0.7766,3.0467,3.0467,21.25,TRUE
CdH,P6mm,0,3.047,3.047,21.79,TRUE
Li3Fe3(OF)4,Pm,1.6273,3.0474,5.0341,28.48,FALSE
Al3Ru2,P4/mmm,0,3.0479,3.0479,25.544,TRUE
HfZn,P4/nmm,0,3.0494,3.0494,26.632,TRUE
Mg3(HO2)2,P-3m1,2.5672,3.0494,3.0494,28.961,TRUE
RuO3,C2/m,0,3.0509,7.4174,23.218,FALSE
TiOF,Pmmn,0,3.051,4.0159,24.076,FALSE
MgO2,C2/m,1.0608,3.051,3.4217,21.607,FALSE
Mn2OF4,Pmn2_1,0.6672,3.0525,12.076,22.802,FALSE
Ag2PdO2,Pmmm,0.3942,3.0529,4.3382,23.205,FALSE
YC5,Pmmm,0,3.0536,4.8005,23.46,FALSE
BS,P-3m1,2.9017,3.0553,3.0553,24.623,TRUE
TaO2,R-3m,0,3.0555,5.2731,21.957,FALSE
CeMg5,Cm,0,3.0564,6.3944,25.533,FALSE
Li2NiO2,P-3m1,1.7477,3.0568,3.0568,23.689,TRUE
Al2O3,Pc,3.6887,3.0569,5.2489,25.735,FALSE
HfCu,P4/nmm,0,3.0572,3.0572,24.425,TRUE
As4C3,C2,0,3.0583,3.0583,27.985,TRUE
CSe,Pmmn,0.3053,3.0583,4.4991,22.225,FALSE
Mg(AgO2)2,Pmma,0,3.0586,9.6565,24.242,FALSE
CrHO2,P3m1,1.1115,3.0588,3.0588,23.08,TRUE
BS,C2/m,1.8885,3.0594,3.9767,23.465,FALSE
WO2,P6/mmm,0,3.0598,3.0598,23.607,TRUE
TiNF,Pmmn,0.6611,3.0599,3.9555,24.334,FALSE
RuO2,P-3m1,0,3.0608,3.0608,21.943,TRUE
Mg5Ti,Cm,0,3.062,5.9395,25.12,FALSE
AlHO2,P1,2.7775,3.0637,3.6276,25.135,FALSE
FeSn2,P4/mmm,0,3.0641,3.0641,22.803,TRUE
VOF2,Pmm2,2.1065,3.0645,3.7099,22.458,FALSE
Li2H2Pd,P4/mmm,0,3.0648,3.0648,23.384,TRUE
H3W,P2_1/m,0,3.0649,3.0841,24.141,FALSE
V2H2O5,C2/m,1.4919,3.0656,6.0875,25.424,FALSE
Mg(SbO2)2,Pmc2_1,1.3631,3.0659,9.5955,24.237,FALSE
ZrCu,P4/nmm,0,3.066,3.066,24.425,TRUE
MoO2,P6/mmm,0,3.0682,3.0682,23.553,TRUE
InPd2,P-6m2,0,3.0682,3.0682,22.78,TRUE
NiF2,P-3m1,5.1807,3.0688,3.0688,22.613,TRUE
NCl5,P1,0,3.0689,9.0636,23.95,FALSE
NbS2,P4/mmm,0,3.0696,3.0696,22.96,TRUE
Ga2Ru,P4/mmm,0,3.0702,3.0702,22.696,TRUE
NiN,P-6m2,0,3.0708,3.072,"20.0,""",FALSE
CSe,P3m1,1.4924,3.0708,3.0709,21.529,TRUE
Ge3N4,C2/m,1.0154,3.0714,3.0715,28.182,TRUE
Al3Os2,P4/mmm,0,3.0717,3.0717,25.544,TRUE
TcS2,P-3m1,0,3.0721,3.0721,22.641,TRUE
LuP2,C222,0,3.0721,3.3492,25.031,FALSE
V2H3O5,Cm,1.0363,3.0727,6.375,24.101,FALSE
MgSb2O5,Pm,1.1673,3.0729,4.8375,24.499,FALSE
FeOF,Pmmn,1.9568,3.0732,3.8955,24.357,FALSE
CeMg2,Pmma,0,3.0733,5.3441,27.931,FALSE
ZrZn,P4/nmm,0,3.0735,3.0735,25.689,TRUE
SiH2O,Cm,0,3.0747,3.0747,22.389,TRUE
PF5,Pmma,0.0014,3.0759,10.01,23.858,FALSE
V3H5O8,P1,1.4834,3.0763,9.6107,25.334,FALSE
PF5,Pmmm,0,3.0768,5.2755,23.758,FALSE
HfC2,P4/nmm,0,3.0771,3.0776,25.781,TRUE
