Formula,Space Group,Band Gap,a,b,c,a=b
Bi2Pt,P-3m1,0,7.222,7.222,22.835,TRUE
Sb2Pt,P-3m1,0,7.2225,7.2221,22.86,TRUE
Ge3Sb2O9,P-6,3.9732,7.2313,7.2313,25.093,TRUE
Ag2Bi2S3Cl2,P-1,1.5629,7.2314,11.269,28.786,FALSE
AlP3,P-3m1,0.718,7.2331,7.2331,21.198,TRUE
SCl,P-1,2.2784,7.243,8.8501,25.125,FALSE
VBr4,P-1,0.0035,7.2466,6.3146,22.58,FALSE
SrBr2,C2,4.213,7.2468,5.1184,26.413,FALSE
B2S,P3,0.057,7.2482,7.2482,23.564,TRUE
CuB2(CN)8,C2/m,0.8842,7.249,7.5787,29.737,FALSE
BiF3,Cmcm,3.8549,7.2499,7.0684,24.815,FALSE
Al2Te3,P2_1/c,1.8108,7.2574,12.866,24.259,FALSE
GaI3,Pmc2_1,2.2269,7.2629,6.8493,22.613,FALSE
CuH2(SeO3)2,P2_1/c,0.0729,7.2637,8.7612,23.561,FALSE
ZnFeF5,P2/c,3.2269,7.2649,5.4313,23.767,FALSE
P3Pb,P-3m1,0.5306,7.2663,7.2664,21.68,TRUE
LiHSO4,P2_1/c,5.3467,7.2681,8.2749,26.72,FALSE
Al2Se3,P1,0.8348,7.2715,7.1949,38.475,FALSE
NaSb(PS3)2,P2_1/c,1.8573,7.2718,11.45,29.418,FALSE
MnAs2F12,P-4,4.2021,7.2735,7.2735,23.587,TRUE
Ga2Te3,P-62m,1.4088,7.2753,7.2755,20.011,TRUE
Ge3Bi2O9,P-6,3.9258,7.2795,7.2795,25.496,TRUE
Li4Ni(PO3)6,P1,3.0831,7.281,7.2931,29.776,FALSE
YbI3,C2/m,0.188,7.2838,7.7056,22.454,FALSE
PbSeO4,P2_1/c,3.4876,7.2858,8.9109,24.145,FALSE
InI3,C2/m,1.692,7.288,7.288,22.723,TRUE
TlN,P4/mbm,0,7.289,7.289,"20.0,""",TRUE
TeAuI,P2_1/c,1.0945,7.2908,7.7264,24.72,FALSE
GeI3,P1,0.9914,7.3117,7.3534,24.438,FALSE
VOF3,Pca2_1,3.1697,7.3118,8.1903,22.993,FALSE
SeBr,P-1,1.1929,7.3144,9.0184,25.155,FALSE
ZnCl2,P-4m2,4.478,7.322,7.322,26.753,TRUE
As2Pt,C2/m,0,7.3241,6.7952,22.895,FALSE
Cd(PO3)2,P2_1,3.1924,7.326,6.4612,24.923,FALSE
Sr5Ir,Pmc2_1,0,7.3263,8.0399,25.788,FALSE
LiSb(PO3)4,P2/c,2.8648,7.3274,9.9009,28.629,FALSE
SrF2,P-1,5.8589,7.3292,7.3834,23.515,FALSE
VBr5,P1,0,7.3301,11.015,25.802,FALSE
TaBr4,P1,0.7776,7.331,7.3049,22.612,FALSE
Li2Cr2O7,P-1,2.7032,7.3367,10.573,22.11,FALSE
Sn3I8,P1,0.345,7.3395,8.2157,33.797,FALSE
SiAs3,P-3m1,0,7.3443,7.3443,21.405,TRUE
TlPd2Se3,P-3m1,0.9563,7.3487,7.3487,24.714,TRUE
KAs2F7,P2_1/c,4.8013,7.35,8.5812,26.944,FALSE
ThCl4,P2_1/c,3.1448,7.3507,12.554,24.898,FALSE
Ag2WS4,P2_1/m,0.9264,7.3521,7.2582,23.112,FALSE
Ge3I8,P1,0.5217,7.3561,8.3567,33.626,FALSE
CdCl4,Pmna,0.2847,7.3564,5.2475,24.809,FALSE
Li2UI6,P-31m,0.1932,7.3633,7.3633,23.471,TRUE
BBr,Aem2,2.5969,7.3645,7.402,23.14,FALSE
InSiTe3,P3,0,7.3724,7.3724,21.013,TRUE
PtC4,Cmmm,1.208,7.3764,4.8198,22.926,FALSE
TeAs,P2_1/c,0.943,7.3765,7.2313,22.075,FALSE
LaCl3,C2/m,4.0697,7.3815,7.3815,23.329,TRUE
Tl2Te3,P1,0.0485,7.3824,9.2866,37.195,FALSE
I3N,P2_1/c,0.4491,7.389,11.192,23.595,FALSE
BiI4,P2/c,0,7.3933,7.8099,22.677,FALSE
CaSnS3,P2_1/c,1.765,7.3938,7.939,31.326,FALSE
Mn3Br8,C2/m,0,7.3953,7.4589,22.141,FALSE
BSb,P4/mbm,0.2337,7.3965,7.3965,"20.0,""",TRUE
Hg3AsS4Cl,P3m1,2.1443,7.3966,7.3966,23.05,TRUE
LiFeP2O7,P-1,2.5292,7.4069,8.5946,25.211,FALSE
TlI3,C2/m,0.801,7.4105,7.4076,23.221,FALSE
TaTe2,P-6m2,0,7.4125,7.4125,23.396,TRUE
NbBr4,Pmna,0,7.4136,6.0661,22.503,FALSE
Sr,Cmmm,0,7.4179,7.4179,"20.0,""",TRUE
Sn2P3O10,C2,0.0121,7.4274,7.4274,24.506,TRUE
BCl,Aem2,2.8064,7.4291,7.4947,23.14,FALSE
MgBr2,P-1,4.3256,7.4302,7.4589,23.508,FALSE
NbBr5,P1,0.4766,7.4341,7.4156,25.36,FALSE
NbI4,P1,0,7.4353,7.427,22.912,FALSE
Cu2WO4,P-1,0.9018,7.4359,8.3362,25.736,FALSE
VF4,Pmmn,2.3159,7.4371,7.5733,23.484,FALSE
Bi3Se2ClO8,Pmmn,0.7361,7.4372,10.63,27.089,FALSE
BCl,Pbcm,2.4297,7.4401,5.2578,23.094,FALSE
GeCl4,P1,3.8229,7.446,7.4186,22.312,FALSE
Hg3AsS4Br,P3m1,2.0762,7.4473,7.4473,23.204,TRUE
BBr,Pbcm,2.1377,7.4494,5.5532,23.094,FALSE
GeAs3,P-3m1,0,7.4507,7.4507,21.68,TRUE
TlPt2Se3,P-3m1,1.411,7.4548,7.4548,24.183,TRUE
V3Br8,P-3m1,0,7.4563,7.4563,23.495,TRUE
Cu2WO4,P-1,0.7605,7.459,8.1393,26.726,FALSE
Ba2C,Pmmn,0,7.46,7.4589,28.824,FALSE
As2S5,P2_1/c,0.0958,7.4659,7.1557,32.144,FALSE
CdF2,P-4m2,3.9821,7.4669,7.4669,26.753,TRUE
LiMnF4,P2_1/c,1.8173,7.4719,7.7222,24.359,FALSE
CaPbI4,P2_1/c,2.4553,7.4725,14.356,27.542,FALSE
HfTe3Se8,P-1,0.5355,7.4726,7.6109,35.327,FALSE
NCl3,P2_1/c,1.9913,7.473,9.2642,24.569,FALSE
PCl3,P2_1/c,3.7914,7.4734,11.104,23.755,FALSE
SbI3,P-31m,2.1727,7.4755,7.4755,23.602,TRUE
HgI2,P-3,1.3131,7.4772,7.4772,23.168,TRUE
RbCrClO3,P2_1/c,2.7945,7.4908,8.0087,27.379,FALSE
TaBr5,P1,0.4129,7.491,7.3666,25.167,FALSE
Te5N2,P2_1/c,0,7.4983,7.065,32.097,FALSE
AsF3,P2_1/c,5.1725,7.5,7.6522,24.6,FALSE
SbI3,P2_1/c,2.0988,7.5012,12.986,23.61,FALSE
VZnF5,P-1,1.1654,7.5031,7.8338,20.404,FALSE
S5N2,P2_1,0.3795,7.504,6.0622,32.593,FALSE
In2Se3,P1,0.3263,7.5095,7.7032,38.461,FALSE
YI3,P-31m,2.8543,7.5105,7.5105,23.545,TRUE
KSb2F7,P2_1/c,4.2587,7.5135,8.2666,28.438,FALSE
Y2S3,C2,2.4571,7.5149,7.0658,20.136,FALSE
Ba5Co,Pmc2_1,0,7.516,8.0924,25.788,FALSE
HgF2,P-4m2,2.2433,7.5174,7.5161,26.753,FALSE
PBr3,P2_1/c,2.9429,7.5204,11.598,23.66,FALSE
Sb2Te3,P2/c,1.1661,7.528,10.57,22.151,FALSE
P2S5,P2_1/c,0.39,7.5392,6.7365,32.193,FALSE
Sb2Pd,P-3m1,0,7.5394,7.5394,22.86,TRUE
ZnB2(CN)8,P-3m1,5.2206,7.5394,7.5394,29.789,TRUE
CuTe2O5,P2_1/c,0.4114,7.5405,8.9888,26.558,FALSE
BiOF,P2_1/c,3.2822,7.5461,10.257,28.716,FALSE
TaI5,P-1,1.0781,7.5464,7.5026,29.934,FALSE
PI3,P2_1/c,1.9214,7.5516,12.252,23.63,FALSE
TaI5,P1,0.3421,7.5556,7.7792,22.367,FALSE
Li3Sn(PO3)6,P1,0.4953,7.5561,7.2703,29.452,FALSE
Tl2S3,P1,0.5862,7.5571,7.4703,38.382,FALSE
CuTeO3,P2_1/c,0.0019,7.5588,9.3141,21.859,FALSE
Te5P2,P2_1/c,0,7.5604,8.4049,32.143,FALSE
Sb3C,P-3m1,0,7.5647,7.5647,21.405,TRUE
P2Se5,P2_1/c,0.0642,7.5791,7.3121,32.15,FALSE
GdI3,C2/m,0.6011,7.5858,7.5858,23.291,TRUE
VZnF5,P2_1/c,1.0129,7.5858,7.645,28.743,FALSE
NbI5,P1,0.5422,7.59,9.6343,21.973,FALSE
Cu2HgI4,P2/m,0.4166,7.5907,4.935,23.773,FALSE
BiI3,P-31m,2.5334,7.6036,7.6036,23.704,TRUE
Ta3SeI7,P3m1,0.6888,7.6039,7.6039,23.814,TRUE
Ta3I8,P3m1,0.1491,7.6057,7.6057,23.495,TRUE
HoTe2ClO5,P2/c,2.8939,7.6059,7.9123,28.405,FALSE
Hg3Se4O5,P-1,2.2471,7.6101,7.8903,27.976,FALSE
LaBr3,C2/m,3.3111,7.6117,7.6117,23.09,TRUE
TiZnF5,P2_1/c,1.9529,7.623,7.7509,28.871,FALSE
AlI3,P-1,2.8818,7.6238,8.0336,23.231,FALSE
TlP3,P-3m1,0,7.6347,7.6775,21.198,FALSE
AlI3,Pmc2_1,1.8535,7.6358,6.8956,22.613,FALSE
Ba5Rh,Pmc2_1,0,7.6371,8.2174,25.788,FALSE
TeCl,P-1,0.7657,7.6395,8.9357,25.167,FALSE
ThBr4,P2_1/c,2.2969,7.6406,13.282,24.897,FALSE
UI4,C2/m,0.0941,7.6412,7.6412,25.189,TRUE
Au3F8,P2_1/c,0.6221,7.6434,10.733,23.417,FALSE
Ta3TeI7,P3m1,0.6596,7.6463,7.6463,24.025,TRUE
Hf(Te2Cl3)2,P-1,1.1898,7.6481,9.0513,23.739,FALSE
BiI3,P2_1/c,2.4802,7.6498,13.16,23.611,FALSE
LiV(SO4)3,P-1,1.1299,7.6502,8.9945,26.277,FALSE
Li2CoP2O7,P-42_1m,3.3301,7.6575,7.6573,24.609,TRUE
InTeBr,P2_1/c,2.1671,7.6597,8.3675,24.28,FALSE
Nb3I8,P3m1,0.2931,7.6609,7.6609,24.179,TRUE
Ba5Ir,Pmc2_1,0,7.6637,8.2633,25.788,FALSE
SiCl4,P1,5.423,7.6645,7.3067,21.934,FALSE
GaAs3,P-3m1,0.6039,7.6693,7.6693,21.198,TRUE
RbReSO3,P2_1/c,2.7504,7.6744,8.1731,27.617,FALSE
ZnWF5,P2/c,0,7.6776,7.8012,21.481,FALSE
KBi(PSe3)2,P2_1/c,1.4313,7.68,12.187,30.412,FALSE
Li2Cr4O13,P2_12_12,1.6432,7.6822,8.5473,29.903,FALSE
AlAs3,P-3m1,0.6117,7.6833,7.6833,21.198,TRUE
Tl2Te3,P-62m,0.0102,7.6899,7.6902,20.011,FALSE
Hg3AsSe4Br,P3m1,1.831,7.6927,7.6927,23.287,TRUE
