Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
NaTeF5,3,top-down,Pmc2_1,mm2,orthorhombic,5.3311,False,6.06803014,10.08831869,25.116848
Li2Mo(PO4)2,4,top-down,P-3,-3,trigonal,0.0,False,5.00466756,5.0046669722438315,30.171796
I(NO3)2,3,top-down,P-3,-3,trigonal,0.0,False,4.7132156400000005,4.713215560509067,24.836651
Te(HO2)2,3,top-down,P2_1/c,2/m,monoclinic,1.9849000000000006,True,4.89946857,5.24920069,24.125075
Li2V3F8,3,top-down,P-3m1,-3m,trigonal,2.6094,True,6.34125536,6.341255046222233,24.300824
CeTe3,2,top-down,P4/nmm,4/mmm,tetragonal,0.0,False,4.43047223,4.4288583,29.125406
V3CrO10,3,top-down,P-4m2,-42m,tetragonal,0.24619999999999997,False,6.5341868,6.5341868,22.121023
GdBr,2,top-down,P-3m1,-3m,trigonal,0.0,False,3.80687532,3.8068732038580206,26.800199
Sn3Pd,2,top-down,P4/mbm,4/mmm,tetragonal,0.0,False,6.40143238,6.4008276,25.862669
LaBr2,2,top-down,P-6m2,-6m2,hexagonal,0.6842000000000001,False,4.10198727,4.101987576545304,23.835633
BaNiSn3,3,top-down,P4mm,4mm,tetragonal,0.0,False,4.88503599,4.88503599,23.559787
RbHgSbSe3,4,top-down,P2_1/c,2/m,monoclinic,1.8422999999999998,True,9.95910952187251,11.1471713,25.46833
Ag2SO3,3,top-down,P2_1/c,2/m,monoclinic,2.9361000000000006,True,8.99618191,10.273638040439817,18.145804
Mg(SbO2)2,3,top-down,P2_1,2,monoclinic,2.8453,True,6.410447885980768,9.655541693411825,26.813591
Ge5F12,2,top-down,P2_1/c,2/m,monoclinic,4.0551,True,7.18680901,8.124124921821046,26.668061
VBiO5,3,top-down,P2_1/c,2/m,monoclinic,0.0,False,8.84376263,10.29142086,23.603724
Li2V(CO3)3,4,top-down,Pma2,mm2,orthorhombic,2.6002,False,9.74744317,9.49542025,22.594371
MgSb3P3O13,4,top-down,P2_1/m,2/m,monoclinic,2.2859,False,6.91605546,11.37354823583297,26.370309
