Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
IrF2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.5192791400000005,3.519279719818097,22.858091
Ba2Sb,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.953362,4.953361717554049,22.747784
TlS,2,bottom-up,P-1,-1,triclinic,0.9814000000000003,False,4.008652948077889,12.402249826645358,25.602778862291558
MoCl2,2,bottom-up,R-3m,2/m,trigonal,0.0,False,3.166735,5.4819182815347585,21.43941941646828
IrO2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.155589,3.155588543970205,21.887078
RuI2,2,bottom-up,P-3m1,-3m,trigonal,1.1619,False,3.996016,3.9960151796320793,22.810979
TcTe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.567633,3.56763428110744,22.641327
TcSe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.20224328,3.2022431652951027,22.641327
AuBr,2,bottom-up,P3m1,3m,trigonal,0.1498999999999997,True,4.478867,4.478867594529336,20.19552
SiBr4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.20860000000000056,False,5.140671,5.140671,23.993582
SrO2,2,bottom-up,P4/mmm,4/mmm,tetragonal,2.9398,False,3.467017,3.467017,21.519401
TaCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,4.881557,4.881557,23.812503
SnCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,1.2989999999999995,False,5.14005,5.14005,23.993582
Ti3Se2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.37425238,3.37425238,26.086724
MoF2,2,bottom-up,C2/m,2/m,monoclinic,2.6526000000000005,True,3.41110865,3.9551632191891906,22.980968084198807
IrS2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.554483,3.5544836177837418,22.656793
HfBr2,2,bottom-up,P2_1/m,2/m,monoclinic,0.8580999999999999,False,3.419915,6.372173847587651,24.428381094400546
AuSe,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,2.873397,3.788443,23.889425
HfCl2,2,bottom-up,P2_1/m,2/m,monoclinic,0.8628000000000002,False,3.25407028,6.096141634430418,24.428255309514064
Al2S5,2,bottom-up,P1,1,triclinic,2.2099,True,3.730263987289461,7.233908233468774,24.091016521806498
TaI3,2,bottom-up,P-31m,-3m,trigonal,0.0,False,6.68636238,6.686361772644805,22.719179
Li2O,2,bottom-up,P-3m1,-3m,trigonal,1.9866,True,5.415015449845165,5.4149602936556835,22.643578009397192
TlSb,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.7516789,4.7516789,23.942319
CdBr2,2,bottom-up,P-4m2,-42m,tetragonal,3.0243,False,4.08782261,4.08782261,22.741369
VBr4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,5.10268987,5.10268987,24.723608
AlSb3,2,bottom-up,P-3m1,-3m,trigonal,0.3897000000000004,True,8.50983856,8.509838762312857,21.198253
Al4O3,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,2.82530873,7.02129395791503,27.755486451300534
Mo3S4,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.18906761,3.1905378719229445,29.26839235061444
SBr,2,bottom-up,P-1,-1,triclinic,1.8022,False,4.208442560363264,9.180088659037008,25.81915785986868
Sb2C,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.1622,False,3.67659337,10.14214785,25.607718
AlF3,2,bottom-up,C2/m,2/m,monoclinic,8.4202,False,4.912589931541762,4.913683549557603,23.2643745231835
MoBr3,2,bottom-up,C2/m,2/m,monoclinic,1.0679000000000003,True,6.581607034571782,6.581606838340554,22.716255214732396
B2O3,2,bottom-up,P-62m,-6m2,hexagonal,5.1866,False,4.39518055,4.3951805691784775,21.655576
GaSb3,2,bottom-up,P-3m1,-3m,trigonal,0.38060000000000027,True,8.47949388,8.47949370816929,21.198253
AlI,2,bottom-up,P4mm,4mm,tetragonal,1.5772,False,4.388203,4.388203,22.485034
SiI4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,5.65689593,5.65689593,23.993582
SiCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,1.3023000000000007,False,4.736635,4.736635,23.993582
Nd2Se5,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.081613,4.081667,38.6804
AlF,2,bottom-up,Pmmn,mmm,orthorhombic,0.9199999999999999,False,4.566918,2.654604,23.633843
YSi3,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,5.482208,5.4822076563349,20.0
MoBr2,2,bottom-up,C2/m,2/m,monoclinic,0.6177000000000001,False,3.803742,4.2571435646622255,23.280418
Ba2As,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.69785852,4.697858361491392,22.747784
BeF2,2,bottom-up,P-3m1,-3m,trigonal,9.4494,False,2.60038023,2.6003801818751064,23.529845
GaAs,2,bottom-up,P-6m2,-6m2,hexagonal,0.0,False,4.10436822,4.10436984379296,20.0
TiI2,2,bottom-up,P-6m2,-6m2,hexagonal,0.6795,True,3.755567,3.7555663796749754,23.440981
Mg2Sb,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.623002,4.623002715556741,23.013137
HfPb2,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.21622464,4.25232732,25.781726
BBr,2,bottom-up,Pbcm,mmm,orthorhombic,2.1377,False,7.44941812,5.55320417,23.094001
RuC2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.97503239,2.97503239,22.803662
HfCl,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.38190054,3.3818995197679254,26.166721
P2Pt,2,bottom-up,P-1,-1,triclinic,0.0,False,3.7579735959923144,6.368196414015549,24.985510807125294
BBr3,2,bottom-up,C2/m,2/m,monoclinic,2.1468000000000003,False,5.904107760989547,5.904107185459119,22.723513
TiPb2,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.14775089,4.18533691,25.781726
Al2O3,2,bottom-up,P-62m,-6m2,hexagonal,3.6148,True,5.77353799,5.773536551863989,15.062276
HfF2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,2.92407439,2.92407524614519,23.19661
YbF2,2,bottom-up,P-3m1,-3m,trigonal,7.2622,False,3.49297619,3.492976699010525,23.554212
AlTe,2,bottom-up,P-6m2,-6m2,hexagonal,1.7839,False,4.11473166,4.114731766247362,24.817356
NdC2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.67811204,3.67811204,22.598526
TlS,2,bottom-up,P-6m2,-6m2,hexagonal,0.7934000000000001,False,4.02760425,4.0276036478281485,25.019273
NiSb2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.11399153,3.11399153,23.530469
GeSe,2,bottom-up,P3m1,3m,trigonal,2.2646,False,3.6657020001767737,3.6657175872199974,21.529288
AgCl,2,bottom-up,P-6m2,-6m2,hexagonal,1.9701000000000004,True,4.346541,4.346541315306459,20.0
TmCl2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.63449393,3.6344934187041655,23.842566
NbBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.37889078,3.3788913324436676,22.665532
AgF,2,bottom-up,P-6m2,-6m2,hexagonal,1.3263000000000003,True,3.910042,3.9100418921680364,20.0
GeBr2,2,bottom-up,P-3m1,-3m,trigonal,2.3501000000000003,False,4.015591,4.015592274327786,23.73272
NdSe3,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.01238706,4.01176129,29.438976
SiBr2,2,bottom-up,P-3m1,-3m,trigonal,1.8341000000000003,False,3.959292,3.959292473715474,23.73272
InBr,2,bottom-up,P4mm,4mm,tetragonal,1.2230999999999996,False,4.16300526,4.16300526,22.485034
AgTe,2,bottom-up,P2/m,2/m,monoclinic,0.10350000000000037,False,4.024013,4.93150792233258,22.704176386951367
PdS2,2,bottom-up,P-3m1,-3m,trigonal,1.0868000000000002,False,3.536319,3.5363186721568236,22.613401
TeAu,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.15847467,4.15847467,23.081241
NiP2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.602255,2.602255,23.530469
PtCl2,2,bottom-up,P-3m1,-3m,trigonal,0.4677000000000002,False,3.752192,3.7521923534451163,23.007692
BN3,2,bottom-up,P-3m1,-3m,trigonal,1.2638999999999998,False,4.78782955,4.787829608736815,21.198253
TiS5,2,bottom-up,Pmmn,mmm,orthorhombic,0.13250000000000028,True,3.37158653,11.40056202,25.297553
BI,2,bottom-up,P4mm,4mm,tetragonal,2.1098000000000003,False,4.398225,4.398225,22.485034
RhPb4,2,bottom-up,P4/nbm,4/mmm,tetragonal,0.0,False,6.6944365,6.6944365,22.924308
NCl4,2,bottom-up,P1,1,triclinic,0.7262999999999997,True,4.7924729953798,6.69243550989184,22.59514239146875
Ca2P,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.185914,4.1859141194622,23.013137
BAs,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.33010843,3.33010843,23.942319
Tl2Ru,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.30508225,3.30508225,22.696945
SiN,2,bottom-up,P-1,-1,triclinic,1.4729,False,2.9607801902627515,8.93229435814191,25.21537270296833
GdCl3,2,bottom-up,C2/m,2/m,monoclinic,2.3127000000000004,True,6.952277866765659,6.952277622332519,23.287861839979605
RhI3,2,bottom-up,C2/m,2/m,monoclinic,1.2412,False,6.837997015582514,6.837997407707896,22.62919973405165
GaTe,2,bottom-up,C2/m,2/m,monoclinic,0.9947000000000001,False,4.1135172942041445,5.444212897857339,23.42541992161484
TiZn,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,2.80301237,2.80301237,26.60755
PO2,2,bottom-up,Pmn2_1,mm2,orthorhombic,5.1784,False,4.98145859,6.15787267,25.995831
AgS,2,bottom-up,P2/m,2/m,monoclinic,0.9871999999999996,False,3.54294251,5.809526339816693,22.550046597037753
BeCl2,2,bottom-up,P-3m1,-3m,trigonal,5.8475,False,3.251087,3.251086808964811,23.529845
ZrBr3,2,bottom-up,C2/m,2/m,monoclinic,0.36480000000000024,False,6.50404804894292,6.504048135170178,22.906100848707883
PO2,2,bottom-up,P2_1/m,2/m,monoclinic,3.4067999999999996,True,4.938736368406295,5.858727493100016,22.646429723965785
RhI2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.991153,3.991153346656703,22.858091
TeC,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,3.461709,4.577109,18.250974
Sc2Pb,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.081421,4.081419650546731,22.695846
Cu2S,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.6943000000000001,False,4.150498008269369,5.334553,23.357037002416746
YbBr2,2,bottom-up,P-3m1,-3m,trigonal,5.153899999999999,False,4.17989126,4.179891790404705,23.554212
SmSe3,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.983379,3.983379,29.325055
TiSe5,2,bottom-up,Pmmn,mmm,orthorhombic,0.1995,False,3.59080991,12.31807751,25.297553
US3,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.853571,3.849647,28.821085
TlAs,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.61481602,4.61481602,23.942319
PBr4,2,bottom-up,P-1,-1,triclinic,0.2214999999999998,False,6.58797632204397,7.709581698768747,22.79316916696599
AlCl,2,bottom-up,Pbcm,mmm,orthorhombic,2.5319,False,5.889995,6.072205,23.094001
Ge2Ru,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.98759007,2.98759007,22.803662
TcI3,2,bottom-up,P-3m1,-3m,trigonal,0.7494000000000001,False,11.24008659,11.240085659204524,26.856058
ThBr4,2,bottom-up,P2_1/c,2/m,monoclinic,2.2969000000000004,True,7.64060683,13.282737095488429,24.89784388227705
N2O3,2,bottom-up,Pc,m,monoclinic,0.7532000000000001,False,3.8378065545106623,4.810162427194013,23.935017
PdF2,2,bottom-up,P-3m1,-3m,trigonal,0.6479999999999997,False,3.3723882800000005,3.372388919952965,22.803068
Te2Pb,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.01783884,4.017837885270269,26.152415
InF3,2,bottom-up,P-31m,-3m,trigonal,4.889799999999999,False,5.740154775482196,5.740154621340574,22.753964128913662
Be5Co,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.0,False,4.43903004,3.98954928,25.78836
Sc2F3,2,bottom-up,C2/m,2/m,monoclinic,0.8736999999999999,False,3.22342285,7.763862346413261,25.50088527842787
TaCl2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.14136164,3.1413612392779764,22.903114
SnBi,2,bottom-up,P-1,-1,triclinic,0.7011,False,4.486737447008415,13.179356224262143,25.228989796781697
InI,2,bottom-up,P4mm,4mm,tetragonal,1.4140000000000001,True,4.560192,4.560192,22.485034
SiSe,2,bottom-up,Pmmn,mmm,orthorhombic,1.1633,False,3.492209,5.780268,22.225044
In2O,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.25795875,3.2579587594439694,23.020983
Sr5Co,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.0,False,7.182602,8.033988,25.78836
YPb3,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,6.45427241,6.454272853021257,20.0
TlF3,2,bottom-up,C2/m,2/m,monoclinic,3.033199999999999,False,6.03303589455425,5.9653884140903175,23.224547019203367
TaBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.31264718,3.312647376605338,22.665532
Sn3H,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.693052,4.693052280652006,30.11045
GeH,2,bottom-up,P-3m1,-3m,trigonal,1.0684,True,4.05954397,4.059544791348746,23.722044
TbBr3,2,bottom-up,Pmmn,mmm,orthorhombic,2.9071000000000002,False,3.931281,9.094246,23.980671
SiCl2,2,bottom-up,P-3m1,-3m,trigonal,2.1863,False,3.811284,3.811284703483853,23.73272
SiCl3,2,bottom-up,P1,1,triclinic,2.9005000000000005,False,5.932746472110282,9.210360929737444,24.253721647746534
Ca5La,2,bottom-up,P1,1,triclinic,0.0,False,3.7977540200940436,7.389780423687348,25.339928502237065
SeBr,2,bottom-up,P-1,-1,triclinic,1.1928999999999998,False,7.314460841819853,9.018442808527755,25.155052564584516
CN2,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.0,False,2.310075,5.774289,25.607718
MoF3,2,bottom-up,P-31m,-3m,trigonal,4.314500000000001,False,5.71159483,5.711594617494352,22.87158
AlTe,2,bottom-up,C2/m,2/m,monoclinic,1.4948,False,4.096266110773884,5.5256752797693665,23.42731476468835
RuS,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.89979354,3.89979354,22.77902
NbTe,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,3.94525117,3.94525117,23.448734
NiSb2,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,3.879357473014319,5.25320245563402,24.52358528733448
GeO,2,bottom-up,Pbcm,mmm,orthorhombic,2.9608,False,4.44970765,5.11874848,22.719659
Bi2Te3,2,bottom-up,Pc,m,monoclinic,0.8937999999999999,False,4.415227271017654,14.683698917920172,23.079365
CdF2,2,bottom-up,P-4m2,-42m,tetragonal,3.9821000000000004,True,7.46699648,7.46699648,26.75385
MoSe2,2,bottom-up,P2_1/m,2/m,monoclinic,0.01429999999999998,False,3.2987152,5.972914865569913,24.194785842538806
Ga4Te3,2,bottom-up,Pmn2_1,mm2,orthorhombic,0.9213,False,4.12300516,11.2335692,30.194773
MgPb2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.39634769,3.3963479266519716,24.664279
Ca5Y,2,bottom-up,P1,1,triclinic,0.0,False,3.7948957654374738,7.316349377804553,25.343486199797628
Mg2P,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.96236879,3.9623686724232337,23.013137
AlI3,2,bottom-up,C2/m,2/m,monoclinic,2.248,False,6.979494654361446,6.97962310688686,23.2227
InTe,2,bottom-up,P-3m1,-3m,trigonal,1.2766000000000002,False,4.37719235,4.377192355271716,24.623155
ZrSe5,2,bottom-up,Pmmn,mmm,orthorhombic,0.2166999999999999,True,3.739531,12.505639,25.297553
UBr3,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,3.936488,9.163346,24.951193
SiTe,2,bottom-up,P3m1,3m,trigonal,1.7480000000000002,False,3.84645284,3.8464014772467885,21.52928800032343
PdF2,2,bottom-up,P2_1/c,2/m,monoclinic,0.8651999999999997,True,5.720400744008937,5.81518,25.99112988048796
PbSe,2,bottom-up,Pmmn,mmm,orthorhombic,1.8484999999999998,False,4.047187,6.25311,22.225044
TcBr3,2,bottom-up,P-3m1,-3m,trigonal,0.9797999999999996,True,10.62116592,10.621164323737952,26.856058
ScBr3,2,bottom-up,P-31m,-3m,trigonal,2.8985999999999996,False,6.677684,6.677684015203176,23.545538
ZrI3,2,bottom-up,C2/m,2/m,monoclinic,0.3194999999999999,False,6.9861384293421,6.986137287508135,22.903850542587687
NpF3,2,bottom-up,Pmmn,mmm,orthorhombic,0.05359999999999987,False,3.63630063,7.2715672,24.494445
CBr2,2,bottom-up,P-3m1,-3m,trigonal,1.4206000000000003,False,3.50039837,3.500398698895898,23.73272
NO2,2,bottom-up,P1,1,triclinic,1.6399000000000004,False,4.417596950804321,4.466773821399644,22.410878274758932
SnSe,2,bottom-up,P3m1,3m,trigonal,2.2056,False,3.900899,3.9007700435738326,21.52928700055796
CaAu,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,4.69285443,4.692854464852681,24.159589
SnSb,2,bottom-up,P-1,-1,triclinic,1.0465,True,4.360815525851506,12.862116982893141,25.223925194227014
TlCl3,2,bottom-up,C2/m,2/m,monoclinic,2.4448,True,6.622085609555162,6.617650465808026,23.222794649888964
P2S3,2,bottom-up,P-3m1,-3m,trigonal,0.6193000000000001,False,3.47889078,3.4788917628339275,27.395711
BePb2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.42890333,3.428903829014409,24.664279
MnSe2,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,6.610722464330284,6.536420214569558,23.45654367711634
ZnBr2,2,bottom-up,P-4m2,-42m,tetragonal,3.6055,True,7.75880707,7.75880707,26.75385
NbF3,2,bottom-up,P-31m,-3m,trigonal,0.0,False,4.95491013,4.95490977431927,22.719179
Br3N,2,bottom-up,Pmn2_1,mm2,orthorhombic,1.3255999999999997,False,4.054366,11.08372762,23.123083
InCl,2,bottom-up,P4mm,4mm,tetragonal,0.9417999999999997,False,3.953795,3.953795,22.485034
WCl4,2,bottom-up,P1,1,triclinic,0.4485000000000001,False,5.9313736378672015,6.229631194231967,22.738269950096335
B4Te3,2,bottom-up,Pmn2_1,mm2,orthorhombic,0.21809999999999996,False,3.597739,9.253022,30.194773
Sb4Br,2,bottom-up,P2/m,2/m,monoclinic,0.0,False,4.231686,12.749393659252192,33.71878692858272
Sr2Ir,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.683668,3.683668,24.618934
TiHg,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,2.971572,2.971572,26.60755
HfBr3,2,bottom-up,C2/m,2/m,monoclinic,0.35970000000000013,False,6.412042773099615,6.4120439677290895,22.904985614336933
AgS,2,bottom-up,P-1,-1,triclinic,0.0,False,3.6416885203426785,6.133583171067713,25.306189232554846
Te3P2,2,bottom-up,P2_1/m,2/m,monoclinic,0.17520000000000002,False,3.90757677,10.020344206766021,24.858649451587457
Tl4Te3,2,bottom-up,Pmn2_1,mm2,orthorhombic,0.3649,False,4.49995,12.807746,30.194773
ZrBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.49379841,3.493798089290407,22.995423
CrF3,2,bottom-up,P-31m,-3m,trigonal,3.5486000000000004,False,5.198894944641458,5.19886494777089,22.771702770553095
BAs5,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.0,False,6.97389295,11.84641685,26.806861
ThCl2,2,bottom-up,P-6m2,-6m2,hexagonal,0.028000000000000025,False,3.73761329,3.7376148848504687,24.529133
FeI3,2,bottom-up,P-31m,-3m,trigonal,0.057599999999999874,False,6.690531784788962,6.689210760588893,22.68157479794993
Sb2S3,2,bottom-up,P-3m1,-3m,trigonal,0.7101000000000002,False,3.92045369,3.9204533844773315,27.040305
ReBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.714049,3.7140480702564957,22.766075
ZnBr2,2,bottom-up,P-4m2,-42m,tetragonal,3.3797000000000006,False,3.847565012621099,3.843485775918782,22.755683526810618
Cu2Te,2,bottom-up,Pmma,mmm,orthorhombic,0.0,False,4.296816103697248,4.978841,23.357036034364143
NiP2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,6.235724000000321,6.235724657930383,22.860006
PrSe3,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.030727,4.033309,29.512958
ScBr3,2,bottom-up,Pmmn,mmm,orthorhombic,2.214,False,3.5238965,10.40976373,24.85506
WSe2,2,bottom-up,P2_1/m,2/m,monoclinic,0.02090000000000014,False,3.316624,5.951238264846233,24.145443265176333
La2F3,2,bottom-up,C2/m,2/m,monoclinic,0.5447,False,3.88356072,9.134741425563464,25.526030590320772
As3C,2,bottom-up,P-3m1,-3m,trigonal,0.044399999999999995,False,6.77827575,6.778277098298509,21.405434
AgTe,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.02620012,4.02620012,23.081241
SeCl,2,bottom-up,C2/m,2/m,monoclinic,1.5265,True,3.634485078596554,8.42041990320566,25.863733363904544
AlI,2,bottom-up,Pbcm,mmm,orthorhombic,1.7702,False,6.66504549,6.65491217,23.094001
OsI3,2,bottom-up,P-31m,-3m,trigonal,0.08289999999999997,False,6.88447134252997,6.884549630311842,22.68160499081027
PdS,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.78666204,3.78666126849145,23.678874
GeSe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.635567,3.6355677876628842,23.314712
CI3,2,bottom-up,P1,1,triclinic,0.16159999999999997,True,4.0735960510795115,10.056483013661074,23.969476051357706
TiSe3,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,3.56286804,5.375593418859012,26.873593981285687
AlBr,2,bottom-up,Pbcm,mmm,orthorhombic,2.2805999999999997,False,6.21276735,6.35488409,23.094001
AgSe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.75239474,3.743819307992683,23.009689215180188
RhSe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.56276643,3.5627674035049464,22.656793
VCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,4.775605,4.775605,23.812503
C3I8,2,bottom-up,P1,1,triclinic,0.0,False,6.418291955905863,7.238170405241893,34.488898060853366
ScCl2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.20207092,3.20207092,23.801584
Sc2Si,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.73996331,3.739963769085836,22.695846
B2Te,2,bottom-up,P3,3,trigonal,1.0398,False,10.727299,10.727298362028064,23.381968
Sb2Te3,2,bottom-up,P2_1/m,2/m,monoclinic,0.6817,False,4.29670504,10.673716005085145,24.943830198836444
InSe,2,bottom-up,P-3m1,-3m,trigonal,1.4115,False,4.06953591,4.069535302712762,24.623155
PdSe,2,bottom-up,P3m1,3m,trigonal,0.0,False,3.74895294,3.748953482450303,20.29848
CrI3,2,bottom-up,P-31m,-3m,trigonal,1.0747,False,6.891782155821598,6.891281462080184,22.77171811960472
PuCl3,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,3.88197985,8.56668953,24.890906
B2Ru,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.770729,2.770729,22.696945
RuCl2,2,bottom-up,P-3m1,-3m,trigonal,1.2966999999999997,True,3.590134,3.5901324200747804,23.240079
AlS,2,bottom-up,P-1,-1,triclinic,1.8942,False,3.614120069479015,5.265412692440736,23.433836139130058
CdCl2,2,bottom-up,P-4m2,-42m,tetragonal,3.7373000000000003,False,7.888999,7.888999,26.75385
RhBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.76300494,3.7630052397043916,23.069546
SbPb,2,bottom-up,P-1,-1,triclinic,0.3671000000000002,True,4.48906641013738,13.278031605967321,25.22456939354405
Ti3S2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.28207971,3.28207971,26.086724
LaBr3,2,bottom-up,C2/m,2/m,monoclinic,3.3111,False,7.611725801650455,7.611725696707848,23.09012210510024
Be2Bi,2,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,4.47971846,4.479718982354361,23.013137
BiCl3,2,bottom-up,P2_1/m,2/m,monoclinic,2.9219000000000004,False,7.866624112224329,8.56451512,24.851536588065027
TbI,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.94314652,3.9431457776740473,26.638503
AlSe,2,bottom-up,P-1,-1,triclinic,2.1278,False,3.780423943975199,11.352112139208105,25.60287055930614
TaI2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.63257,3.6325700857146583,22.903114
Sb4F,2,bottom-up,P2/m,2/m,monoclinic,0.0,False,4.22957121,12.547743349415574,33.721976611002354
CoBr3,2,bottom-up,C2/m,2/m,monoclinic,1.121,False,6.1284577156423685,6.128457460379172,22.66649196343739
PBr3,2,bottom-up,P2_1/c,2/m,monoclinic,3.0828000000000007,False,8.375899456834114,10.121219,24.875599483192563
IrF3,2,bottom-up,C2/m,2/m,monoclinic,1.8877000000000002,False,5.438924963599792,5.438924483408646,22.885149082231187
V2S3,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,3.187074,9.006416627768004,24.00200538625756
Tl2Se5,2,bottom-up,P1,1,triclinic,0.5699000000000001,True,4.1974181698882465,8.02752627254804,24.08701645498448
VSe3,2,bottom-up,P-1,-1,triclinic,0.0,False,5.216933884515458,6.822730433072906,26.334323567471916
I3N,2,bottom-up,Pmn2_1,mm2,orthorhombic,0.403,False,4.237017,11.963171,27.25826
Sb2Se3,2,bottom-up,P2_1/m,2/m,monoclinic,0.7285000000000001,False,4.03324845,10.132452140780924,26.231723693779937
TmBr2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.79298233,3.7929812983724567,23.842566
TcI2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.982907,3.9829061932228584,23.003991
CCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.04330000000000034,True,5.20296785,5.20296785,23.993582
SiSb,2,bottom-up,P-1,-1,triclinic,1.3148,False,4.029659177946194,11.63144353355554,25.22431487411884
AgTe,2,bottom-up,P-1,-1,triclinic,0.0,False,4.23406916271242,6.6210410013719,25.32182387112416
AuI,2,bottom-up,P-6m2,-6m2,hexagonal,0.04320000000000013,True,4.70101696,4.701016662406817,20.0
Tl2Os,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.95025769,2.95025769,22.704718
CuF,2,bottom-up,Cmme,mmm,orthorhombic,1.4324,True,3.723598901135676,3.723599019937351,23.904224
BiF3,2,bottom-up,Cmcm,2/m,orthorhombic,3.8549,False,7.249971688300306,7.068476,24.815540432721832
Si3Br8,2,bottom-up,P1,1,triclinic,0.6589,True,6.4385482599866,8.505710498942717,35.124477795094386
MgGe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.0175844,3.0175847315933564,24.664279
PtBr2,2,bottom-up,P2_1/c,2/m,monoclinic,1.5827999999999998,False,6.566285399316193,8.0697089,26.16762770248857
